# Created by: riboviz
# Date: 2023-04-05 12:00:37
# File: /exports/csce/eddie/biology/groups/wallace_rna/riboviz-david/riboviz/riboviz/rscripts/generate_stats_figs.R
# Version: commit bb25145b6ec95e37fe5129429ddf94067d6b99f6 date 2023-03-09 14:39:35 GMT
Pos	Counts	End
-24	0	5'
-23	0	5'
-22	0	5'
-21	8	5'
-20	2	5'
-19	1	5'
-18	0	5'
-17	0	5'
-16	0	5'
-15	0	5'
-14	0	5'
-13	1	5'
-12	0	5'
-11	15	5'
-10	4	5'
-9	0	5'
-8	2	5'
-7	0	5'
-6	1	5'
-5	0	5'
-4	1	5'
-3	0	5'
-2	0	5'
-1	0	5'
0	0	5'
1	3	5'
2	0	5'
3	0	5'
4	0	5'
5	1	5'
6	0	5'
7	1	5'
8	0	5'
9	1	5'
10	0	5'
11	1	5'
12	0	5'
13	2	5'
14	0	5'
15	0	5'
16	1	5'
17	0	5'
18	0	5'
19	5	5'
20	0	5'
21	0	5'
22	2	5'
23	0	5'
24	0	5'
25	2	5'
26	0	5'
27	0	5'
28	1	5'
29	1	5'
30	0	5'
31	0	5'
32	1	5'
33	0	5'
34	4	5'
35	1	5'
36	1	5'
37	5	5'
38	2	5'
39	0	5'
40	2	5'
41	0	5'
42	0	5'
43	1	5'
44	1	5'
45	0	5'
46	1	5'
47	1	5'
48	0	5'
49	4	5'
50	0	5'
-49	2	3'
-48	0	3'
-47	5	3'
-46	1	3'
-45	0	3'
-44	4	3'
-43	0	3'
-42	0	3'
-41	3	3'
-40	1	3'
-39	1	3'
-38	3	3'
-37	1	3'
-36	0	3'
-35	1	3'
-34	1	3'
-33	0	3'
-32	1	3'
-31	0	3'
-30	0	3'
-29	1	3'
-28	1	3'
-27	0	3'
-26	0	3'
-25	2	3'
-24	1	3'
-23	4	3'
-22	1	3'
-21	0	3'
-20	2	3'
-19	2	3'
-18	0	3'
-17	9	3'
-16	5	3'
-15	2	3'
-14	1	3'
-13	0	3'
-12	0	3'
-11	1	3'
-10	1	3'
-9	0	3'
-8	2	3'
-7	0	3'
-6	0	3'
-5	0	3'
-4	0	3'
-3	0	3'
-2	0	3'
-1	0	3'
0	0	3'
1	0	3'
2	0	3'
3	0	3'
4	0	3'
5	0	3'
6	0	3'
7	0	3'
8	0	3'
9	0	3'
10	0	3'
11	0	3'
12	0	3'
13	0	3'
14	0	3'
15	0	3'
16	0	3'
17	0	3'
18	0	3'
19	0	3'
20	0	3'
21	0	3'
22	0	3'
23	0	3'
24	0	3'
25	0	3'
